0.2629,0.828,0.697,5.2862,0.828,0.692,0.2151,0.828,0.000,-0.0046,0.697,0.630,-0.0907,0.697,0.714,48.0237,0.697,0.513,29.3889,0.697,0.728,0.2265,0.630,0.000,0000,000,000,3.7338,0.714,0.805,2.0052,0.805,0.627,-0.0076,0.513,0.412,7.0942,0.412,0.677,70.6015,0.728,0.506,-14.3544,0.506,0.708,5.6561,0.692,0.855,0000,000,000,1
0.2994,0.874,0.743,5.0222,0.874,0.702,0.2073,0.874,0.000,-0.0883,0.743,0.627,-0.3599,0.743,0.746,19.2626,0.743,0.576,21.4060,0.743,0.693,0.2293,0.627,0.000,0000,000,000,5.6108,0.746,0.829,2.5296,0.829,0.693,-0.0024,0.576,0.523,8.8925,0.523,0.618,-20948.6923,0.693,0.529,-17.6675,0.529,0.731,5.2557,0.702,0.856,0000,000,000,1
0.2372,0.824,0.674,5.2659,0.824,0.707,0.2152,0.824,0.000,-0.1107,0.674,0.606,-0.1832,0.674,0.715,10662.7778,0.674,0.532,26.2777,0.674,0.721,0.2265,0.606,0.000,0000,000,000,4.2858,0.715,0.832,2.4658,0.832,0.684,-0.0032,0.532,0.439,5.7373,0.439,0.638,68.8569,0.721,0.524,-33.9155,0.524,0.655,5.5224,0.707,0.852,0000,000,000,1
0.2623,0.835,0.693,5.1805,0.835,0.689,0.2152,0.835,0.000,-0.0059,0.693,0.629,-0.1802,0.693,0.703,95.8738,0.693,0.524,29.3067,0.693,0.737,0.2266,0.629,0.000,0000,000,000,3.8272,0.703,0.787,2.1371,0.787,0.485,-0.1970,0.524,0.428,6.5295,0.428,0.676,135.9156,0.737,0.514,-17.7769,0.514,0.668,5.4297,0.689,0.854,0000,000,000,1
0.2498,0.844,0.681,5.0802,0.844,0.706,0.2132,0.844,0.000,-0.1022,0.681,0.584,-0.2697,0.681,0.713,24.2356,0.681,0.540,26.1200,0.681,0.703,0.2272,0.584,0.000,0000,000,000,4.7827,0.713,0.793,2.3644,0.793,0.616,-0.1411,0.540,0.479,7.0111,0.479,0.652,10014.6296,0.703,0.490,-23.0065,0.490,0.696,5.2406,0.706,0.843,0000,000,000,1
0.2314,0.843,0.706,5.0635,0.843,0.707,0.2165,0.843,0.000,-0.1236,0.706,0.610,-0.2500,0.706,0.719,16.0696,0.706,0.522,21.5341,0.706,0.712,0.2265,0.610,0.000,0000,000,000,3.0761,0.719,0.822,3.4157,0.822,0.648,-0.1666,0.522,0.422,10.0131,0.422,0.579,47.0335,0.712,0.490,-35.1635,0.490,0.670,5.3215,0.707,0.853,0000,000,000,1
0.3065,0.902,0.734,4.9950,0.902,0.691,0.2074,0.902,0.000,-0.0860,0.734,0.622,-0.4365,0.734,0.738,9.5746,0.734,0.544,19.6162,0.734,0.690,0.2299,0.622,0.000,0000,000,000,4.8850,0.738,0.805,4.2564,0.805,0.476,-0.0025,0.544,0.457,11.7640,0.457,0.582,-34.8302,0.690,0.526,-8.8560,0.526,0.679,5.1343,0.691,0.884,0000,000,000,1
0.3243,0.889,0.760,4.9259,0.889,0.691,0.2081,0.889,0.000,-0.0772,0.760,0.634,-0.1977,0.760,0.743,10.5148,0.760,0.573,19.6265,0.760,0.665,0.2336,0.634,0.000,0000,000,000,5.9544,0.743,0.825,3.1865,0.825,0.449,-0.1373,0.573,0.493,10.1852,0.493,0.614,-35.2055,0.665,0.553,-8.7479,0.553,0.651,5.1339,0.691,0.888,0000,000,000,1
0.2565,0.836,0.697,5.0830,0.836,0.706,0.2133,0.836,0.000,-0.1269,0.697,0.602,-0.3740,0.697,0.715,32.3843,0.697,0.523,21.4792,0.697,0.708,0.2266,0.602,0.000,0000,000,000,3.1499,0.715,0.834,4.8961,0.834,0.572,-0.2453,0.523,0.442,8.8139,0.442,0.662,45.8858,0.708,0.515,-68.1190,0.515,0.690,5.3244,0.706,0.837,0000,000,000,1
0.3073,0.901,0.742,5.0148,0.901,0.692,0.2074,0.901,0.000,-0.1515,0.742,0.618,-0.3327,0.742,0.747,11.8025,0.742,0.609,19.7332,0.742,0.687,0.2336,0.618,0.000,0000,000,000,4.3223,0.747,0.802,2.0721,0.802,0.567,0.0003,0.609,0.546,11.8875,0.546,0.575,-46.6973,0.687,0.585,-9.9180,0.585,0.678,5.1559,0.692,0.877,0000,000,000,1
0.2375,0.830,0.707,5.1619,0.830,0.705,0.2158,0.830,0.000,-0.1228,0.707,0.620,-0.1157,0.707,0.724,49.8410,0.707,0.543,21.5594,0.707,0.704,0.2265,0.620,0.000,0000,000,000,3.2440,0.724,0.839,3.1765,0.839,0.550,-0.0044,0.543,0.467,5.8475,0.467,0.637,46.5167,0.704,0.529,-35.6201,0.529,0.676,5.4317,0.705,0.837,0000,000,000,1
0.2746,0.846,0.716,5.0046,0.846,0.708,0.2107,0.846,0.000,-0.1806,0.716,0.593,-0.3615,0.716,0.739,13.8705,0.716,0.551,21.4124,0.716,0.696,0.2315,0.593,0.000,0000,000,000,4.4028,0.739,0.812,2.4964,0.812,0.700,-0.1424,0.551,0.469,8.7517,0.469,0.644,-137.1864,0.696,0.498,-14.1080,0.498,0.702,5.2363,0.708,0.858,0000,000,000,1
0.2309,0.842,0.688,5.1803,0.842,0.707,0.2133,0.842,0.000,-0.2187,0.688,0.591,-0.3737,0.688,0.726,19.9677,0.688,0.541,21.6017,0.688,0.703,0.2271,0.591,0.000,0000,000,000,3.2276,0.726,0.818,2.4327,0.818,0.514,-0.1669,0.541,0.481,11.4612,0.481,0.635,136.1980,0.703,0.491,-23.2016,0.491,0.716,5.4282,0.707,0.851,0000,000,000,1
0.2429,0.847,0.677,5.3757,0.847,0.692,0.2145,0.847,0.000,-0.1126,0.677,0.594,-0.3716,0.677,0.726,3688.3725,0.677,0.530,33.3870,0.677,0.767,0.2265,0.594,0.000,0000,000,000,3.1531,0.726,0.809,2.0685,0.809,0.456,-0.3259,0.530,0.429,6.5340,0.429,0.731,67.8495,0.767,0.507,-14.3643,0.507,0.763,5.6398,0.692,0.873,0000,000,000,1
0.3004,0.899,0.749,4.9085,0.899,0.695,0.2080,0.899,0.000,-0.0895,0.749,0.610,-0.1035,0.749,0.737,9.5825,0.749,0.534,19.6810,0.749,0.681,0.2293,0.610,0.000,0000,000,000,5.1152,0.737,0.786,2.7255,0.786,0.494,-0.1929,0.534,0.446,11.9898,0.446,0.619,-34.5681,0.681,0.533,-8.9433,0.533,0.704,5.1157,0.695,0.884,0000,000,000,1
0.2368,0.828,0.668,5.2643,0.828,0.707,0.2152,0.828,0.000,-0.1084,0.668,0.593,-0.1021,0.668,0.714,15837.0000,0.668,0.513,26.1709,0.668,0.725,0.2264,0.593,0.000,0000,000,000,3.5124,0.714,0.835,2.5397,0.835,0.637,-0.1952,0.513,0.409,6.2591,0.409,0.621,46.0348,0.725,0.511,-66.4091,0.511,0.656,5.5200,0.707,0.865,0000,000,000,1
0.2426,0.849,0.677,5.2694,0.849,0.698,0.2145,0.849,0.000,-0.1106,0.677,0.591,-0.2485,0.677,0.730,26870.5714,0.677,0.526,33.4239,0.677,0.772,0.2264,0.591,0.000,0000,000,000,3.0833,0.730,0.791,2.0041,0.791,0.394,-0.3263,0.526,0.417,6.4487,0.417,0.726,67.4058,0.772,0.501,-11.9578,0.501,0.760,5.5257,0.698,0.874,0000,000,000,1
0.2820,0.892,0.729,4.9250,0.892,0.709,0.2073,0.892,0.000,-0.1680,0.729,0.607,-0.4396,0.729,0.759,12.0943,0.729,0.596,18.1649,0.729,0.691,0.2300,0.607,0.000,0000,000,000,4.5170,0.759,0.789,2.2855,0.789,0.629,-0.0012,0.596,0.520,10.2941,0.520,0.614,-70.1874,0.691,0.567,-10.2952,0.567,0.677,5.0618,0.709,0.879,0000,000,000,1
0.2432,0.843,0.659,5.3764,0.843,0.677,0.2145,0.843,0.000,-0.1125,0.659,0.584,-0.2245,0.659,0.704,24.0879,0.659,0.507,33.4903,0.659,0.748,0.2265,0.584,0.000,0000,000,000,3.3180,0.704,0.780,1.9439,0.780,0.471,-0.1980,0.507,0.380,7.8714,0.380,0.709,131.4940,0.748,0.476,-14.3852,0.476,0.717,5.6406,0.677,0.868,0000,000,000,1
0.2569,0.830,0.685,5.0842,0.830,0.704,0.2133,0.830,0.000,-0.1272,0.685,0.579,-0.3763,0.685,0.724,32.4019,0.685,0.532,21.4459,0.685,0.705,0.2266,0.579,0.000,0000,000,000,3.1488,0.724,0.831,3.0051,0.831,0.571,-0.1974,0.532,0.452,7.1249,0.452,0.646,46.0051,0.705,0.540,-69.8252,0.540,0.688,5.4302,0.704,0.836,0000,000,000,1
0.3072,0.865,0.753,5.1189,0.865,0.692,0.2074,0.865,0.000,-0.1549,0.753,0.617,-0.3345,0.753,0.743,13.8880,0.753,0.574,19.7456,0.753,0.676,0.2337,0.617,0.000,0000,000,000,5.4845,0.743,0.823,2.2107,0.823,0.732,-0.0031,0.574,0.508,8.8346,0.508,0.630,-70.7501,0.676,0.532,-11.8312,0.532,0.709,5.3599,0.692,0.850,0000,000,000,1
0.2311,0.834,0.706,5.1613,0.834,0.708,0.2159,0.834,0.000,-0.1107,0.706,0.624,-0.2478,0.706,0.722,48.4735,0.706,0.536,23.5841,0.706,0.712,0.2265,0.624,0.000,0000,000,000,3.3186,0.722,0.838,3.5600,0.838,0.522,-0.0043,0.536,0.462,6.9978,0.462,0.634,46.9510,0.712,0.516,-34.9495,0.516,0.675,5.4320,0.708,0.834,0000,000,000,1
0.2434,0.844,0.675,5.2691,0.844,0.698,0.2145,0.844,0.000,-0.1117,0.675,0.597,-0.2506,0.675,0.726,3548.6226,0.675,0.528,33.4053,0.675,0.780,0.2265,0.597,0.000,0000,000,000,3.0849,0.726,0.805,1.9485,0.805,0.525,-0.3252,0.528,0.427,6.4467,0.427,0.725,68.3417,0.780,0.507,-11.9214,0.507,0.759,5.6364,0.698,0.871,0000,000,000,1
0.2309,0.832,0.696,5.1624,0.832,0.700,0.2159,0.832,0.000,-0.1116,0.696,0.628,-0.2716,0.696,0.709,3490.4727,0.696,0.533,23.5894,0.696,0.708,0.2265,0.628,0.000,0000,000,000,4.3912,0.709,0.837,2.4324,0.837,0.609,-0.0016,0.533,0.464,5.3813,0.464,0.645,46.3823,0.708,0.513,-34.5360,0.513,0.681,5.5214,0.700,0.851,0000,000,000,1
0.3071,0.898,0.737,5.0156,0.898,0.688,0.2074,0.898,0.000,-0.1543,0.737,0.617,-0.5478,0.737,0.770,12.0502,0.737,0.615,19.5727,0.737,0.699,0.2337,0.617,0.000,0000,000,000,5.0173,0.770,0.817,2.2130,0.817,0.572,-0.1210,0.615,0.553,10.0043,0.553,0.607,-68.8001,0.699,0.583,-11.7608,0.583,0.712,5.1549,0.688,0.878,0000,000,000,1
0.2748,0.840,0.700,5.0823,0.840,0.707,0.2132,0.840,0.000,-0.0071,0.700,0.614,-0.1978,0.700,0.705,23.9260,0.700,0.525,23.4715,0.700,0.705,0.2266,0.614,0.000,0000,000,000,3.8207,0.705,0.833,3.0038,0.833,0.607,-0.1647,0.525,0.457,8.6579,0.457,0.598,69.7627,0.705,0.492,-34.5031,0.492,0.669,5.3253,0.707,0.834,0000,000,000,1
0.2307,0.851,0.702,5.1793,0.851,0.707,0.2133,0.851,0.000,-0.1256,0.702,0.603,-0.3735,0.702,0.740,19.5757,0.702,0.531,21.5931,0.702,0.709,0.2235,0.603,0.000,0000,000,000,3.2246,0.740,0.801,4.2032,0.801,0.444,-0.1654,0.531,0.461,8.7832,0.461,0.607,69.8345,0.709,0.497,-23.9235,0.497,0.662,5.4292,0.707,0.841,0000,000,000,1
0.2820,0.857,0.712,4.9091,0.857,0.709,0.2106,0.857,0.000,-0.1678,0.712,0.578,-0.4516,0.712,0.732,13.7731,0.712,0.582,21.5624,0.712,0.696,0.2330,0.578,0.000,0000,000,000,5.0140,0.732,0.824,2.2147,0.824,0.718,-0.1226,0.582,0.532,14.0110,0.532,0.605,-47.1881,0.696,0.536,-14.4994,0.536,0.724,5.1333,0.709,0.862,0000,000,000,1
